,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.291,0.216,0.001,0.719,0.003,0.003,4490.0,2942.0,1.0
a,2.573,0.249,2.119,3.084,0.005,0.004,2719.0,2182.0,1.0
t0,0.199,0.003,0.193,0.201,0.0,0.0,2520.0,2654.0,1.0
w,0.774,0.02,0.733,0.811,0.0,0.0,3308.0,2230.0,1.0
scaler,0.744,0.358,0.228,1.485,0.006,0.009,3979.0,3094.0,1.0
k_decline,0.289,0.116,0.048,0.502,0.002,0.002,2627.0,1334.0,1.0
b_U,-0.012,0.975,-1.823,1.921,0.015,0.017,4133.0,2691.0,1.0
b_Uval,-0.006,1.027,-1.948,2.057,0.015,0.016,4932.0,2636.0,1.0
b_Umenu,0.084,0.715,-1.33,1.447,0.011,0.014,4297.0,2711.0,1.0
b_d1,0.589,0.954,-1.344,2.373,0.015,0.015,4207.0,2987.0,1.0
b_d2,0.162,0.983,-1.617,2.285,0.015,0.015,4602.0,3093.0,1.0
b_ship,0.153,0.743,-1.205,1.7,0.012,0.013,3826.0,2419.0,1.0
b_pair,-0.099,0.701,-1.464,1.254,0.011,0.012,4458.0,2672.0,1.0
